,store,weekly_sales,holiday_flag,fuel_price,cpi,unemployment,year,month,day,weekday,temperature
0,6,1572117.54,0,3.045,214.7775231,6.858,2011.0,2.0,18.0,4.0,15.33888888888889
1,13,1807545.43,0,3.435,128.6160645,7.47,2011.0,3.0,25.0,4.0,5.766666666666668
3,11,1244390.03,0,,214.55649680000005,7.346,,,,,29.205555555555552
4,6,1644470.66,0,2.759,212.412888,7.0920000000000005,2010.0,5.0,28.0,4.0,26.049999999999997
5,4,1857533.7,0,2.756,126.1602258,7.896,2010.0,5.0,28.0,4.0,
6,15,695396.19,0,4.069,134.85516130000002,7.657999999999999,2011.0,6.0,3.0,4.0,21.0
7,20,2203523.2,0,3.617,213.0236225,6.961,2012.0,2.0,3.0,4.0,4.405555555555555
8,14,2600519.26,0,3.109,,,2010.0,12.0,10.0,4.0,-0.8111111111111116
9,3,418925.47,0,3.555,224.1320199,6.832999999999998,,,,,15.622222222222222
10,8,895066.5,0,3.554,219.07019680000005,6.425,2011.0,8.0,19.0,4.0,28.28888888888889
11,18,1029618.1,0,2.878,132.7633548,9.331,2010.0,10.0,15.0,4.0,11.122222222222225
12,7,414094.05,0,3.767,192.826069,8.595,2011.0,5.0,13.0,4.0,2.561111111111111
13,1,1677472.78,0,3.734,221.2118132,7.348,2012.0,3.0,16.0,4.0,18.188888888888886
14,17,829207.27,0,2.853,126.2346,6.885,2010.0,10.0,1.0,4.0,15.594444444444443
15,6,1498080.16,0,2.78,211.8942725,7.0920000000000005,2010.0,4.0,30.0,4.0,20.505555555555553
16,13,1997397.63,0,2.85,,7.951,2010.0,8.0,20.0,4.0,24.633333333333336
17,18,1205307.5,0,2.7880000000000003,131.52790320000005,9.202,,,,,-5.927777777777779
18,2,2432736.52,0,,,7.441,2011.0,12.0,16.0,4.0,10.072222222222223
20,7,561145.14,0,2.725,189.7048215,8.963,2010.0,4.0,2.0,4.0,3.4777777777777765
21,5,290930.01,0,3.899,216.5343611,6.489,2011.0,5.0,13.0,4.0,25.21111111111111
22,18,1074079.0,0,4.029,138.9117,8.243,2012.0,10.0,12.0,4.0,10.538888888888888
23,19,1427023.45,0,2.963,131.863129,8.35,2010.0,3.0,26.0,4.0,3.927777777777778
24,19,1405007.44,0,4.124,138.0332,8.15,2012.0,5.0,4.0,4.0,10.42222222222222
25,17,919878.34,0,3.797,131.1083333,5.527,2012.0,10.0,12.0,4.0,7.122222222222222
26,3,367438.62,0,3.261,,6.832999999999998,2012.0,1.0,13.0,4.0,11.033333333333333
27,16,435397.19,0,3.828,192.831317,6.339,2011.0,5.0,20.0,4.0,6.63888888888889
28,17,757738.76,0,2.915,126.5621,6.635,2010.0,4.0,16.0,4.0,7.344444444444444
29,6,1420405.41,0,3.523,217.2706543,6.925,2011.0,8.0,26.0,4.0,
32,7,563460.77,1,3.103,196.9195056,8.256,2012.0,2.0,10.0,4.0,-7.33888888888889
33,14,2077256.24,1,,,8.424,2012.0,2.0,10.0,4.0,2.7777777777777777
34,2,1853161.99,0,3.48,214.9296249,,,,,,30.944444444444443
35,19,1266564.94,0,3.789,133.9587419,7.771,2011.0,3.0,25.0,4.0,0.6999999999999988
36,3,365248.94,0,3.467,219.7414914,7.567,2011.0,9.0,23.0,4.0,26.772222222222222
37,18,988157.72,0,3.823,134.2784667,8.975,2011.0,4.0,15.0,4.0,
38,4,2008344.92,0,3.57,129.0663,5.9460000000000015,2011.0,6.0,24.0,4.0,27.694444444444443
39,5,311906.7,0,3.297,218.5699621,6.3,2011.0,11.0,11.0,4.0,15.950000000000001
40,18,961186.23,0,4.023,137.9781333,8.304,2012.0,4.0,27.0,4.0,10.238888888888889
41,16,526525.16,0,3.659,198.1267184,6.061,2012.0,9.0,14.0,4.0,
42,1,1661767.33,1,3.73,222.4390153,6.908,,,,,
43,7,629994.47,0,3.485,194.3796374,8.622,2011.0,8.0,26.0,4.0,14.222222222222221
44,1,1641957.44,1,2.548,211.24216980000003,8.106,2010.0,2.0,12.0,4.0,3.6166666666666654
45,2,1861802.7,0,3.555,220.275944,7.057,2012.0,2.0,24.0,4.0,12.572222222222223
46,5,268929.03,0,2.64,211.9270006,6.496,2010.0,7.0,30.0,4.0,28.033333333333328
47,19,1549018.68,0,2.958,132.5218667,8.099,2010.0,7.0,2.0,4.0,19.02777777777778
48,1,1624383.75,0,3.684,215.544618,7.9620000000000015,2011.0,8.0,5.0,4.0,33.138888888888886
49,16,485095.41,0,3.75,197.4133259,6.162000000000001,2012.0,3.0,30.0,4.0,9.049999999999999
50,13,2035431.39,0,3.788,130.95922579999998,5.965,2012.0,6.0,1.0,4.0,16.172222222222224
51,2,1916812.74,0,2.728,211.6608975,8.163,2010.0,11.0,12.0,4.0,15.383333333333333
52,9,509263.28,0,2.653,214.8965756,,2010.0,6.0,25.0,4.0,29.455555555555552
53,14,1879451.23,0,3.625,184.9943679,8.549,2011.0,3.0,25.0,4.0,5.422222222222221
54,10,1805999.79,0,3.666,130.7196333,7.17,2012.0,7.0,6.0,4.0,30.483333333333334
55,13,1847430.96,0,3.648,129.5183333,6.877000000000002,2011.0,9.0,23.0,4.0,17.555555555555557
56,8,888816.78,0,2.619,214.9362793,6.315,2010.0,8.0,27.0,4.0,23.84444444444445
58,6,1532308.78,0,2.64,212.8944846,6.973,2010.0,7.0,30.0,4.0,
59,14,2020550.99,0,3.695,189.8424834,8.424,2012.0,2.0,17.0,4.0,2.694444444444445
