lat;lng;desc;zip;title;timeStamp;twp;addr;e
40.2978759;-75.5812935;"REINDEER CT & DEAD END;  NEW HANOVER; Station 332; 2015-12-10 @ 17:10:52;";19525;EMS: BACK PAINS/INJURY;42348,71588;NEW HANOVER;REINDEER CT & DEAD END;1
40.2580614;-75.2646799;"BRIAR PATH & WHITEMARSH LN;  HATFIELD TOWNSHIP; Station 345; 2015-12-10 @ 17:29:21;";19446;EMS: DIABETIC EMERGENCY;42348,72872;HATFIELD TOWNSHIP;BRIAR PATH & WHITEMARSH LN;1
40.1211818;-75.3519752;"HAWS AVE; NORRISTOWN; 2015-12-10 @ 14:39:21-Station:STA27;";19401;Fire: GAS-ODOR/LEAK;42348,61066;NORRISTOWN;HAWS AVE;1
40.1161530;-75.3435130;"AIRY ST & SWEDE ST;  NORRISTOWN; Station 308A; 2015-12-10 @ 16:47:36;";19401;EMS: CARDIAC EMERGENCY;42348,69972;NORRISTOWN;AIRY ST & SWEDE ST;1
40.2514920;-75.6033497;"CHERRYWOOD CT & DEAD END;  LOWER POTTSGROVE; Station 329; 2015-12-10 @ 16:56:52;";;EMS: DIZZINESS;42348,70616;LOWER POTTSGROVE;CHERRYWOOD CT & DEAD END;1
40.2534732;-75.2832450;"CANNON AVE & W 9TH ST;  LANSDALE; Station 345; 2015-12-10 @ 15:39:04;";19446;EMS: HEAD INJURY;42348,65213;LANSDALE;CANNON AVE & W 9TH ST;1
40.1821111;-75.1277951;"LAUREL AVE & OAKDALE AVE;  HORSHAM; Station 352; 2015-12-10 @ 16:46:48;";19044;EMS: NAUSEA/VOMITING;42348,69917;HORSHAM;LAUREL AVE & OAKDALE AVE;1
40.2172859;-75.4051820;"COLLEGEVILLE RD & LYWISKI RD;  SKIPPACK; Station 336; 2015-12-10 @ 16:17:05;";19426;EMS: RESPIRATORY EMERGENCY;42348,67853;SKIPPACK;COLLEGEVILLE RD & LYWISKI RD;1
40.2890267;-75.3995896;"MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; Station 344; 2015-12-10 @ 16:51:42;";19438;EMS: SYNCOPAL EPISODE;42348,70257;LOWER SALFORD;MAIN ST & OLD SUMNEYTOWN PIKE;1
40.1023985;-75.2914577;"BLUEROUTE  & RAMP I476 NB TO CHEMICAL RD; PLYMOUTH; 2015-12-10 @ 17:35:41;";19462;Traffic: VEHICLE ACCIDENT -;42348,73311;PLYMOUTH;BLUEROUTE  & RAMP I476 NB TO CHEMICAL RD;1
40.2319898;-75.2518915;"RT202 PKWY & KNAPP RD; MONTGOMERY; 2015-12-10 @ 17:33:50;";;Traffic: VEHICLE ACCIDENT -;42348,73183;MONTGOMERY;RT202 PKWY & KNAPP RD;1
40.0841613;-75.3083857;"BROOK RD & COLWELL LN; PLYMOUTH; 2015-12-10 @ 16:32:10;";19428;Traffic: VEHICLE ACCIDENT -;42348,689;PLYMOUTH;BROOK RD & COLWELL LN;1
40.1741312;-75.0984907;"BYBERRY AVE & S WARMINSTER RD; UPPER MORELAND; 2015-12-10 @ 17:15:49;";19040;Traffic: VEHICLE ACCIDENT -;42348,71932;UPPER MORELAND;BYBERRY AVE & S WARMINSTER RD;1
40.0629740;-75.1359140;"OLD YORK RD & VALLEY RD; CHELTENHAM; 2015-12-10 @ 17:12:47;";19027;Traffic: VEHICLE ACCIDENT -;42348,71721;CHELTENHAM;OLD YORK RD & VALLEY RD;1
40.0972222;-75.3761952;"SCHUYLKILL EXPY & CROTON RD UNDERPASS; UPPER MERION; 2015-12-10 @ 17:09:49;";;Traffic: VEHICLE ACCIDENT -;42348,71515;UPPER MERION;SCHUYLKILL EXPY & CROTON RD UNDERPASS;1
40.2237777;-75.2353993;"STUMP RD & WITCHWOOD DR; MONTGOMERY; 2015-12-10 @ 17:31:00;";18936;Traffic: VEHICLE ACCIDENT -;42348,72986;MONTGOMERY;STUMP RD & WITCHWOOD DR;1
40.2432578;-75.2865516;"SUSQUEHANNA AVE & W MAIN ST;  LANSDALE; Station 345B; 2015-12-10 @ 17:42:44;";19446;EMS: RESPIRATORY EMERGENCY;42348,73801;LANSDALE;SUSQUEHANNA AVE & W MAIN ST;1
40.3121807;-75.5742598;"CHARLOTTE ST & MILES RD;  NEW HANOVER; Station 332; 2015-12-10 @ 17:41:54;";19525;EMS: DIZZINESS;42348,73743;NEW HANOVER;CHARLOTTE ST & MILES RD;1
40.1142390;-75.3385080;"PENN ST & ARCH ST;  NORRISTOWN; Station 308A; 2015-12-10 @ 17:43:29;";19401;EMS: VEHICLE ACCIDENT;42348,73853;NORRISTOWN;PENN ST & ARCH ST;1
40.2093369;-75.1352655;"COUNTY LINE RD & WILLOW DR; HORSHAM; 2015-12-10 @ 17:45:23;";18974;Traffic: DISABLED VEHICLE -;42348,73985;HORSHAM;COUNTY LINE RD & WILLOW DR;1
40.1142390;-75.3385080;"PENN ST & ARCH ST; NORRISTOWN; 2015-12-10 @ 17:43:45;";19401;Traffic: VEHICLE ACCIDENT -;42348,73872;NORRISTOWN;PENN ST & ARCH ST;1
40.1179476;-75.2098476;"CHURCH RD & REDCOAT DR; WHITEMARSH; 2015-12-10 @ 17:53:22;";19031;Traffic: DISABLED VEHICLE -;42348,74539;WHITEMARSH;CHURCH RD & REDCOAT DR;1
40.1990064;-75.3000584;"LILAC CT & PRIMROSE DR; UPPER GWYNEDD; 2015-12-10 @ 17:59:24-Station:STA80;";19446;Fire: APPLIANCE FIRE;42348,74958;UPPER GWYNEDD;LILAC CT & PRIMROSE DR;1
40.1433257;-75.4228190;"RT422  & PAWLINGS RD OVERPASS; LOWER PROVIDENCE; 2015-12-10 @ 18:00:38;";;Traffic: DISABLED VEHICLE -;42348,75044;LOWER PROVIDENCE;RT422  & PAWLINGS RD OVERPASS;1
